"","AWT_seg_Thirona_P2","BODE_P2","Change_P2_P3_distwalked","Change_P2_P3_FEV1_ml","Change_P2_P3_FEV1_ml_yr","Change_P2_P3_FEV1pp","Change_P2_P3_lung_density_vnb","Chronic_Bronchitis_P2","copd_P2","distwalked_P2","DLco_raw_P2","Exacerbation_Frequency_P2","FEF2575_post_P2","FEV1_FVC_post_P2","FEV1_post_P2","finalGold_P2","FRC_Thirona_P2","FRC_TLC_ratio_Thirona_P2","FVC_post_P2","lung_density_vnb_P2","pctEmph_Thirona_P2","pctGasTrap_Thirona_P2","PEF_post_P2","Pi10_Thirona_P2","Resting_SaO2_P2","Severe_Exacerbations_P2","SGRQ_scoreTotal_P2","TLC_Thirona_P2","WallAreaPct_seg_Thirona_P2"
"ENSG00000001630.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70069912706623e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001631.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002016.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.93975614644011e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002330.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115807096363875,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002549.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002586.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002745.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002822.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002834.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002919.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000172450000426927,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002933.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.24592701372435e-06,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003056.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003147.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003393.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000336901889859888,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003400.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.28889760838236e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003402.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003436.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003509.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000335531347032486,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003756.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004059.11",0,0,0,0,0,0,0,0,0,21.4291781762395,0,0,0,0,0,0,0,-7.69389924531587e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004139.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004142.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000226658829171704,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004399.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109159619347442,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004455.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000866298189609539,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004468.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.58317808944099e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004478.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000149813508985946,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004487.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004534.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.51718118005786e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004660.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59659536015906e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004700.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004766.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004777.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004779.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.30051755762139e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004799.8",0,0,0,0,0,0,0,0,0,0,0,0,-0.00905465257061777,-0.00105659608764709,-0.0200693266776192,0.0246981358981644,0,0.000375565456904316,0,0,0,0.0140167053888042,-0.0369901668855956,0,0,0,0,0,0
"ENSG00000004809.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000188329480123893,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004864.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004866.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004897.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129937455036321,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004939.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2294887155034e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004961.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004975.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005007.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79735082122085e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005020.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005022.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005059.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005075.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.33856361336519e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005100.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250123609392224,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005156.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005175.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005187.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000112703892514503,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005189.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175895315087451,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005194.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.61245439155782e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005206.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145374662433007,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005238.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000271843541438045,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005243.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005249.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005302.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005339.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005379.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50319374473813e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005381.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000229072240957757,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005436.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005448.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161178436865125,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005469.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005471.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000206483361455736,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005483.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005486.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005700.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005801.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005810.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005812.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005844.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135534175810598,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005882.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3400831534414e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005884.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134410626567491,0,0,0,0,0,0,0,0
"ENSG00000005889.16",-0.00605230581005563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407067676579922,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005893.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005961.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0517787653425e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006007.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006015.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006025.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00042834650300467,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006062.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006125.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006194.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006282.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006327.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000177411134828793,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006432.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80721851334673e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006451.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006459.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006530.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006534.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006555.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10087850746251e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006576.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000574037148459339,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006607.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000458722626344614,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006625.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006634.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006638.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006652.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006695.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000618504470686235,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006712.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006715.16",-0.00226512879395243,-0.0722317665358128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00074116604879829,0,0,0,0,0,0,0,0,-0.148371360070407,0,-0.462933853883018
"ENSG00000006744.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000273900078459711,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006756.16",0,0,0,0,0,0,0,0,0,0,0,0,-0.0714897141150759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006757.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165558641948067,0,0,0,0,0,0
"ENSG00000006831.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007038.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007047.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303185499505502,-0.00210709108764677,0,0,0,0,0,0,0,0,0,0
"ENSG00000007080.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007129.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000204044484344048,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007168.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007202.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007237.19",0,0,0,0,0,0,0,0,0,-0.137161667299046,0,0,0,0,0,0,0,0.000647705561236357,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007255.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3592120720741e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007264.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007312.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.07683006590828e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007341.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007350.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314065939343337,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007376.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007392.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007402.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.43557795927108e-06,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007516.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02373453997966e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007520.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007541.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007545.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007923.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007944.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195821945177439,0,0,0,0,0,0,0,0,0,0
"ENSG00000007968.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.198200141743e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008018.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008083.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008086.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25637741611866e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008128.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008130.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008226.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18009736127195e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008256.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008277.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.074904996618e-06,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008282.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008283.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008294.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008311.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008324.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008382.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00024253453431958,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008394.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5081330808753e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008405.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337895933554557,-0.0370332237501715,0,0,0,0,0,0,0,0,0,0
"ENSG00000008438.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.63190228110426e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008441.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008513.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.35225088865799e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008516.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008517.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95008356521174e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008710.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008838.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434247622983975,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008853.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226206331451947,0,0,0,0,0,0,0,0
"ENSG00000008869.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000339668186135187,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008952.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147439650523212,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008988.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009307.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35883351239508e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009335.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.25644071329356e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009413.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000155585550902925,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009694.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009780.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72573288645232e-05,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009790.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009830.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132302220066593,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009844.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000180775609312628,0,0,0,0,0,0,0,0,0,0,0
